Loading C:\Editor Test\famidash\LEVELS\LEVEL DATA\lvlset_HUGE\clubstep.tmx...
Map: 906x40  tiles=36240  sprites=36240
Config: C:\Users\kando\Documents\Famidash Editor\clubstep.tmx.cfg (46 offsets, 0 anchors)
Start: (0, 577)  speed=1  maxFall=0x7  bias=0.50
[BFS] Starting exhaustive BFS exploration (frontier cap=30000)

[BFS] f=159 front=24 dedup=24 deaths=0 Y=[400..489] mode=0 grav=N XΓëê439px pct=3% ms/f=0.5
[BFS] f=160 front=25 dedup=25 deaths=0 Y=[393..495] mode=0 grav=N XΓëê442px pct=3% ms/f=0.5
[BFS] f=161 front=27 dedup=27 deaths=0 Y=[386..501] mode=0 grav=N XΓëê445px pct=3% ms/f=0.5
[BFS] f=162 front=36 dedup=36 deaths=0 Y=[379..508] mode=0 grav=N XΓëê448px pct=3% ms/f=0.5
[BFS] f=163 front=40 dedup=40 deaths=2 Y=[373..515] mode=0 grav=N XΓëê450px pct=3% ms/f=0.5
[BFS] f=164 front=43 dedup=43 deaths=4 Y=[372..521] mode=0 grav=N XΓëê453px pct=3% ms/f=0.5
[BFS] f=165 front=45 dedup=45 deaths=4 Y=[365..528] mode=0 grav=N XΓëê456px pct=3% ms/f=0.5
[BFS] f=166 front=47 dedup=47 deaths=0 Y=[358..535] mode=0 grav=N XΓëê459px pct=3% ms/f=0.5
[BFS] f=167 front=48 dedup=48 deaths=6 Y=[372..542] mode=0 grav=N XΓëê461px pct=3% ms/f=0.5
[BFS] f=168 front=51 dedup=51 deaths=2 Y=[365..549] mode=0 grav=N XΓëê464px pct=3% ms/f=0.5
[BFS] f=169 front=54 dedup=54 deaths=0 Y=[357..556] mode=0 grav=N XΓëê467px pct=3% ms/f=0.5
[BFS] f=170 front=56 dedup=56 deaths=0 Y=[350..562] mode=0 grav=N XΓëê470px pct=3% ms/f=0.5
[BFS] f=171 front=59 dedup=59 deaths=0 Y=[343..569] mode=0 grav=N XΓëê472px pct=3% ms/f=0.5
[BFS] f=172 front=55 dedup=55 deaths=6 Y=[336..555] mode=0 grav=N XΓëê475px pct=3% ms/f=0.5
