sim |  NES_y NES_vy | PF_y PF_vy onG mode mini | dy dvy  CHG
1603 |   345     70 |  345     18 0 1 0 |  +0   +52  CHG (was -34)
1605 |   345    -34 |  345    -76 0 1 0 |  +0   +42  CHG (was 52)
1628 |   297  -1000 |  293   -950 0 1 0 |  +4   -50  CHG (was 42)
1629 |   293   -950 |  289   -992 0 1 0 |  +4   +42  CHG (was -50)
1632 |   281  -1076 |  276  -1091 0 1 0 |  +5   +15  CHG (was 42)
1633 |   276  -1091 |  272  -1091 0 1 0 |  +4    +0  CHG (was 15)
1634 |   272  -1091 |  268  -1041 0 1 0 |  +4   -50  CHG (was 0)
1636 |   264   -991 |  260  -1033 0 1 0 |  +4   +42  CHG (was -50)
1637 |   260  -1033 |  256   -983 0 1 0 |  +4   -50  CHG (was 42)
1640 |   249   -883 |  246      0 0 1 0 |  +3  -883  CHG (was -50)
1641 |   246      0 |  246     50 0 1 0 |  +0   -50  CHG (was -883)
1642 |   246     50 |  246     84 0 1 0 |  +0   -34  CHG (was -50)
1666 |   291    866 |  294    873 0 1 0 |  -3    -7  CHG (was -34)
1667 |   294    873 |  297    821 0 1 0 |  -3   +52  CHG (was -7)
